,DateTime,Text
143,2020-03-29 20:06:35+00:00,"So proud of the @USACEHQ, @FEMA, and the Federal Government for the 2,900 bed hospital they built in 4 days (way ahead of schedule) in the Javits Center for NY. We are now moving the teams to join others so they can continue to build more hospitals/beds. Keep up the GREAT WORK!"
144,2020-03-29 20:03:36+00:00,Thank you very much to Ken Langone for being a great American and for your wonderful comments on @TeamCavuto.
145,2020-03-29 19:00:26+00:00,"I am a great friend and admirer of the Queen & the United Kingdom. It was reported that Harry and Meghan, who left the Kingdom, would reside permanently in Canada. Now they have left Canada for the U.S. however, the U.S. will not pay for their security protection. They must pay!"
146,2020-03-29 18:10:52+00:00,Happy National Vietnam War Veterans Day to all of our Vietnam era Veterans. You have earned our gratitude and thanks by your actions years ago and what you have done since returning home. The Nation thanks you and your families for your service and sacrifice. We love you!
147,2020-03-29 17:49:09+00:00,...The CBS News poll said 13 percent of Republicans trusted the news media for information about the virus.” Michael M. Grynbaum @NYTimes
148,2020-03-29 17:48:37+00:00,"...alone attracted 6.2 million viewers for the president’s briefing — an astounding number for a 6 p.m. cable broadcast, more akin to the viewership for a popular prime-time sitcom..."
149,2020-03-29 17:48:37+00:00,"...On Monday, nearly 12.2 million people watched Mr. Trump’s briefing on CNN, Fox News and MSNBC, according to Nielsen — ‘Monday Night Football’ numbers. Millions more are watching on ABC, CBS, NBC and online streaming sites, and the audience is expanding. On Monday, Fox News..."
150,2020-03-29 17:48:36+00:00,"“President Trump is a ratings hit. Since reviving the daily White House briefing Mr. Trump and his coronavirus updates have attracted an average audience of 8.5 million on cable news, roughly the viewership of the season finale of ‘The Bachelor.’ Numbers are continuing to rise..."
151,2020-03-29 17:06:20+00:00,"Because the “Ratings” of my News Conferences etc. are so high, “Bachelor finale, Monday Night Football type numbers” according to the @nytimes, the Lamestream Media is going CRAZY. “Trump is reaching too many people, we must stop him.” said one lunatic. See you at 5:00 P.M.!"
152,2020-03-29 16:53:31+00:00,Polls are showing tremendous disapproval of Lamestream Media coverage of the Virus crisis. The Fake News just hasn’t figured that out yet!
153,2020-03-29 16:34:16+00:00,The Lamestream Media wants us to fail. That will NEVER happen!
154,2020-03-29 16:12:52+00:00,"Hope the FDA can approve Mask Sterilization equipment ASAP. As per Governor @MikeDeWine, there is a company in Ohio, @Battelle, which has equipment that can sterilize masks quickly."
155,2020-03-29 16:07:34+00:00,"“With the Tax Cuts and new Trade Deals, we were set for a tremendous growth rate this year.... and then the Virus came along.” @larry_kudlow @MariaBartiromo We were breaking all records, especially on employment. It will all come roaring back again, and fast!"
156,2020-03-29 15:13:26+00:00,Highly recommended by Governor @MikeDeWine of Ohio. @FDA must move quickly!
157,2020-03-29 14:01:57+00:00,Will be doing a press conference today at 5:00 P.M. The White House. People are working harder than I have ever seen people work. It is a beautiful thing to watch!
158,2020-03-29 00:19:31+00:00,....Federal Government. A quarantine will not be necessary. Full details will be released by CDC tonight. Thank you!
159,2020-03-29 00:19:25+00:00,"On the recommendation of the White House CoronaVirus Task Force, and upon consultation with the Governor’s of New York, New Jersey and Connecticut, I have asked the @CDCgov to issue a strong Travel Advisory, to be administered by the Governors, in consultation with the...."
160,2020-03-28 22:30:11+00:00,"With the courage of our doctors and nurses, with the skill of our scientists and innovators, with the determination of the American People, and with the grace of God, WE WILL WIN THIS WAR. When we achieve this victory, we will emerge stronger and more united than ever before!"
161,2020-03-28 18:33:19+00:00,
162,2020-03-28 17:31:58+00:00,"I am giving consideration to a QUARANTINE of developing “hot spots”, New York, New Jersey, and Connecticut. A decision will be made, one way or another, shortly."
163,2020-03-28 16:56:36+00:00,"Heading to the Great State of Virginia now, will be there shortly. The #USNSComfort is “loaded to the gills” at Naval Station Norfolk, departing for New York City this afternoon."
164,2020-03-28 14:16:02+00:00,"....very often FAKE NEWS. Lamestream Media should be forced to reveal sources, very much as they did in the long ago past. If they did that, the media would be trusted again, and Fake News would largely be a thing of the past!"
165,2020-03-28 12:33:28+00:00,"One of the reasons that Fake News has become so prevalent & far reaching is the fact that corrupt “journalists” base their stories on SOURCES that they make up in order to totally distort a narrative or story. When you see, “five sources say”, don’t believe the story, it is...."
166,2020-03-28 12:13:36+00:00,"So much of the Lamestream Media is writing and broadcasting stories with facts that are made up and knowingly wrong. They are doing it by quoting unnamed sources that simply do not exist. These are very dangerous & corrupt people, who will do anything to win. NAME YOUR SOURCES!"
167,2020-03-28 04:49:29+00:00,Thank you James!
168,2020-03-28 04:40:17+00:00,More Fake News!
169,2020-03-28 04:21:32+00:00,"Such Fake reporting by the @nytimes, @washingtonpost, @CNN &amp; others. They use a small portion of a sentence out of a full paragraph in order to demean. They really are corrupt and disgusting. No wonder the media is, according to polls, record setting low &amp; untrusted. #MAGA"
170,2020-03-28 02:34:45+00:00,
171,2020-03-28 02:34:30+00:00,
172,2020-03-28 02:29:57+00:00,"I love Michigan, one of the reasons we are doing such a GREAT job for them during this horrible Pandemic. Yet your Governor, Gretchen “Half” Whitmer is way in over her head, she doesn’t have a clue. Likes blaming everyone for her own ineptitude! #MAGA"
173,2020-03-28 01:05:07+00:00,She is a third rate reporter who has nothing going. A Fake News “journalist”.
174,2020-03-27 21:13:10+00:00,"We are marshalling the full power of government and society to achieve victory over the virus. Together, we will endure, we will prevail, and we will WIN! #CARESAct"
175,2020-03-27 20:34:03+00:00,"I just signed the CARES Act, the single biggest economic relief package in American History – twice as large as any relief bill ever enacted. At $2.2 Trillion Dollars, this bill will deliver urgently-needed relief for our nation’s families, workers, and businesses. #CARESAct "
176,2020-03-27 20:32:53+00:00,News conference live from the @WhiteHouse today. 5:30 P.M. Eastern!
177,2020-03-27 19:57:36+00:00,"Thank you to Rachel @Maddow for putting our Military on full display, and showing how GREAT a job the Federal Government is doing! Also, a special thanks to General Semonite, a Patriot of the highest order and a truly talented engineer and builder!"
178,2020-03-27 16:16:24+00:00,Never knew John Kerry had such a good sense of humor! Very impressed!
179,2020-03-27 15:50:15+00:00,Thousand of Federal Government (delivered) Ventilators found in New York storage. N.Y. must distribute NOW!
180,2020-03-27 15:45:21+00:00,"Will someone please explain to the Fake News New York Times (ALL THE NEWS THAT’S NOT FIT TO PRINT) that the Democrats make it almost impossible for us to fill positions within government. They “maximum” delay even the best candidates, including Judges, leaving little time!"
181,2020-03-27 15:31:33+00:00,We have just purchased many Ventilators from some wonderful companies. Names and numbers will be announced later today!
182,2020-03-27 15:29:32+00:00,Invoke “P” means Defense Production Act!
183,2020-03-27 15:23:53+00:00,"General Motors MUST immediately open their stupidly abandoned Lordstown plant in Ohio, or some other plant, and START MAKING VENTILATORS, NOW!!!!!! FORD, GET GOING ON VENTILATORS, FAST!!!!!! @GeneralMotors @Ford"
