,DateTime,Text
40,2020-04-08 18:11:51+00:00,"Extraordinary times require even closer cooperation between friends. Thank you India and the Indian people for the decision on HCQ. Will not be forgotten! Thank you Prime Minister @NarendraModi for your strong leadership in helping not just India, but humanity, in this fight!"
41,2020-04-08 16:12:24+00:00,Can’t see AOC plus 3 supporting Sleepy Joe!
42,2020-04-08 16:09:38+00:00,"Wow, Bernie is unwilling to give up his delegates, and wants more of them! What’s that all about?"
43,2020-04-08 15:49:28+00:00,"Bernie Sanders is OUT! Thank you to Elizabeth Warren. If not for her, Bernie would have won almost every state on Super Tuesday! This ended just like the Democrats & the DNC wanted, same as the Crooked Hillary fiasco. The Bernie people should come to the Republican Party, TRADE!"
44,2020-04-08 15:26:20+00:00,FLATTENING OF THE CURVE!
45,2020-04-08 14:52:56+00:00,"Once we OPEN UP OUR GREAT COUNTRY, and it will be sooner rather than later, the horror of the Invisible Enemy, except for those that sadly lost a family member or friend, must be quickly forgotten. Our Economy will BOOM, perhaps like never before!!!"
46,2020-04-08 14:42:25+00:00,"...the Fake News Media into not covering them, but that effort failed because the ratings are through the roof according to, of all sources, the Failing New York Times, “Monday Night Football, Bachelor Finale” type numbers (& sadly, they get it $FREE). Trump Derangement Syndrome!"
47,2020-04-08 14:42:24+00:00,"The Radical Left Democrats have gone absolutely crazy that I am doing daily Presidential News Conferences. They actually want me to STOP! They used to complain that I am not doing enough of them, now they complain that I “shouldn’t be allowed to do them.” They tried to shame....."
48,2020-04-08 12:46:01+00:00,Will be immediately sending 100 Ventilators to Colorado at the request of Senator Gardner!
49,2020-04-08 12:20:48+00:00,"Republicans should fight very hard when it comes to state wide mail-in voting. Democrats are clamoring for it. Tremendous potential for voter fraud, and for whatever reason, doesn’t work out well for Republicans. @foxandfriends"
50,2020-04-08 12:07:27+00:00,“The number of New Yorkers admitted to hospitals has dropped.” @ainsleyearhardt @foxandfriends Good news!
51,2020-04-07 22:43:41+00:00,
52,2020-04-07 22:43:26+00:00,
53,2020-04-07 21:29:52+00:00,
54,2020-04-07 21:03:47+00:00,White House news conference at 5:30 P.M. Eastern. Thank you!
55,2020-04-07 20:39:01+00:00,
56,2020-04-07 20:03:03+00:00,"Just had a conf call w/ major lenders discussing our Great Small Businesses & the #PPPloan. I ask every company, big &amp; small, making announcements about innovative contributions, hiring new workers, or looking to overcome setbacks to share your stories with #AmericaWorksTogether!"
57,2020-04-07 15:26:45+00:00,"Wisconsin, get out and vote NOW for Justice Daniel Kelly. Protect your 2nd Amendment!"
58,2020-04-07 15:22:46+00:00,"Why didn’t the I.G., who spent 8 years with the Obama Administration (Did she Report on the failed H1N1 Swine Flu debacle where 17,000 people died?), want to talk to the Admirals, Generals, V.P. & others in charge, before doing her report. Another Fake Dossier!"
59,2020-04-07 15:04:16+00:00,"The W.H.O. really blew it. For some reason, funded largely by the United States, yet very China centric. We will be giving that a good look. Fortunately I rejected their advice on keeping our borders open to China early on. Why did they give us such a faulty recommendation?"
60,2020-04-07 04:35:42+00:00,"Vote today, Tuesday, for highly respected Republican, Justice Daniel Kelly. Tough on Crime, loves your Military, Vets, Farmers, & will save your 2nd Amendment. A BIG VOTE!"
61,2020-04-07 03:39:01+00:00,Great job being done by Dr. Nicole Saphier on @FoxNews!
62,2020-04-07 03:32:12+00:00,
63,2020-04-07 00:10:56+00:00,
64,2020-04-07 00:10:15+00:00,
65,2020-04-07 00:09:52+00:00,"The Wisconsin Supreme Court ruled that tomorrow’s election will proceed as scheduled. VOTE for Justice Daniel Kelly tomorrow, and be safe!"
66,2020-04-06 21:25:42+00:00,White House news conference at 5:45 P.M. Eastern. Thank you!
67,2020-04-06 21:03:59+00:00,Congratulations to State Representative Karen Whitsett of Michigan. So glad you are getting better!
68,2020-04-06 18:32:32+00:00,
69,2020-04-06 15:34:27+00:00,"Joe Biden wanted the date for the Democrat National Convention moved to a later time period. Now he wants a “Virtual” Convention, one where he doesn’t have to show up. Gee, I wonder why? Also, what ever happened to that phone call he told the Fake News he wanted to make to me?"
70,2020-04-06 13:08:58+00:00,"Advertising in the Failing New York Times is WAY down. Washington Post is not much better. I can’t say whether this is because they are Fake News sources of information, to a level that few can understand, or the Virus is just plain beating them up. Fake News is bad for America!"
71,2020-04-06 11:55:14+00:00,LIGHT AT THE END OF THE TUNNEL!
72,2020-04-06 11:54:33+00:00,USA STRONG!
73,2020-04-06 11:53:00+00:00,"Thank you Gayle. I only wish the public could fully understand how corrupt & dishonest so much of our Lamestream Media is. My Press Conferences are vital. They are reaching millions of people that are not being told the truth, & haven’t been for years (Witch-Hunts, Fake News)!"
74,2020-04-06 11:49:57+00:00,"For humanitarian reasons, the passengers from the two CoronaVirus stricken cruise ships have been given medical treatment and, when appropriate, allowed to disembark, under strict supervision. Very carefully done. People we’re dying & no other countries would allow them to dock!"
75,2020-04-06 11:40:45+00:00,.@gayletrotter “To this day the establishment media have not admitted that they were wrong and the President was right.” @FoxNews
76,2020-04-06 00:51:56+00:00,
77,2020-04-06 00:51:50+00:00,
78,2020-04-05 22:19:59+00:00,White House news conference at 6:45 P.M. Eastern. Thank you!
79,2020-04-05 19:35:34+00:00,"We are learning much about the Invisible Enemy. It is tough and smart, but we are tougher and smarter!"
80,2020-04-05 16:30:32+00:00,Thank you Gayle!
81,2020-04-05 16:26:33+00:00,I agree!
82,2020-04-05 16:25:57+00:00,A very biased “journalist”.
83,2020-04-05 16:23:40+00:00,A great & wonderful woman!
84,2020-04-05 16:20:41+00:00,Corrected Fake News!
85,2020-04-05 02:02:59+00:00,He wants to raise taxes all over our Country!
86,2020-04-05 01:59:39+00:00,Disgraceful!
87,2020-04-04 23:25:14+00:00,"Palm Sunday is the beginning of a Holy week for many people of Faith and a great day to lift our voices in Prayer. I will be tuning into Pastor @greglaurie at @harvestorg Church in Riverside, California tomorrow at 11:00 A.M. Eastern."
88,2020-04-04 19:40:07+00:00,"....We will get through this together, and bats will be swinging before you know it. In the meantime, take care of mom and dad, and know that this will not be forever! @littleleagueceo"
89,2020-04-04 19:40:06+00:00,"To all of our youth who are missing the start of their @LittleLeague seasons, hang in there! We will get you back out on the fields, and know that you will be playing baseball soon...."
90,2020-04-04 19:19:53+00:00,"The Paycheck Protection Program is up and running! The program is open to nonprofits as well, so banks be sure to sign up our Great Religious and Veteran Organizations that need help!"
91,2020-04-04 19:10:23+00:00,"America owes our very hard working food supply workers so much as they produce and deliver high quality food for us during this horrible COVID-19. Join me in thanking our Farmers, Ranchers, Processors, Distributors and Stores! @JohnBoozman"
92,2020-04-04 18:30:39+00:00,
93,2020-04-04 17:09:23+00:00,I will be holding a News Conference at 3:30 P.M. at the White House. Thank you!
94,2020-04-04 17:07:39+00:00,.@CNN is Fake News. They will take a good story and make it as bad as is humanly possible. They are a JOKE!
95,2020-04-04 17:05:16+00:00,Good idea Dana!
96,2020-04-04 15:27:02+00:00,Great!
97,2020-04-04 15:17:20+00:00,I agree with this. Watch!
98,2020-04-04 15:09:33+00:00,"I will immediately ask Congress for more money to support small businesses under the #PPPloan if the allocated money runs out. So far, way ahead of schedule. @BankofAmerica &amp; community banks are rocking! @SBAgov @USTreasury"
99,2020-04-04 13:48:32+00:00,I fully agree!
100,2020-04-04 13:41:32+00:00,Thank you Cory!
101,2020-04-03 18:49:51+00:00,Great job being done by @BankofAmerica and many community banks throughout the country. Small businesses appreciate your work!
102,2020-04-03 17:51:15+00:00,The Paycheck Protection Program is now available! #CARESAct Small Business Guidance &amp; Loan Resources: http://SBA.gov
103,2020-04-03 17:33:21+00:00,"Thank you @DeptofDefense, @USACEHQ, @USNationalGuard, @FEMA, and @CDCgov! http://CoronaVirus.gov"
104,2020-04-03 17:29:14+00:00,"Thank you @USNationalGuard, keep up the great work!"
105,2020-04-03 17:14:22+00:00,"GREAT news this week regarding the Keystone XL Pipeline – moving forward with fantastic paying CONSTRUCTION jobs for hardworking Americans. Promises Made, Promises Kept! #MAGA"
106,2020-04-03 17:12:57+00:00,"Highly respected Justice Daniel Kelly is running for the Supreme Court in the Great State of Wisconsin. Justice Kelly has been doing a terrific job upholding the Rule of Law and defending your #2A. Tough on Crime, Loves our Military and our Vets. He has my Complete Endorsement!"
107,2020-04-03 00:52:35+00:00,We hit 3M hard today after seeing what they were doing with their Masks. “P Act” all the way. Big surprise to many in government as to what they were doing - will have a big price to pay!
108,2020-04-03 00:15:24+00:00,
109,2020-04-03 00:13:17+00:00,
110,2020-04-02 16:48:26+00:00,30 DAYS TO SLOW THE SPREAD
111,2020-04-02 14:54:55+00:00,.....Could be as high as 15 Million Barrels. Good (GREAT) news for everyone!
112,2020-04-02 14:32:08+00:00,"Just spoke to my friend MBS (Crown Prince) of Saudi Arabia, who spoke with President Putin of Russia, & I expect & hope that they will be cutting back approximately 10 Million Barrels, and maybe substantially more which, if it happens, will be GREAT for the oil & gas industry!"
113,2020-04-02 14:12:56+00:00,“The States have to get the money to the people who need it.” @MariaBartiromo And FAST!
114,2020-04-02 13:17:22+00:00,"....have been stocked up and ready long before this crisis hit. Other states are thrilled with the job we have done. Sending many Ventilators today, with thousands being built. 51 large cargo planes coming in with medical supplies. Prefer sending directly to hospitals."
115,2020-04-02 13:17:21+00:00,"Massive amounts of medical supplies, even hospitals and medical centers, are being delivered directly to states and hospitals by the Federal Government. Some have insatiable appetites & are never satisfied (politics?). Remember, we are a backup for them. The complainers should..."
116,2020-04-02 12:57:41+00:00,"...It wouldn’t matter if you got ten times what was needed, it would never be good enough. Unlike other states, New York unfortunately got off to a late start. You should have pushed harder. Stop complaining & find out where all of these supplies are going. Cuomo working hard!"
117,2020-04-02 12:57:41+00:00,"Somebody please explain to Cryin’ Chuck Schumer that we do have a military man in charge of distributing goods, a very talented Admiral, in fact. New York has gotten far more than any other State, including hospitals & a hospital ship, but no matter what, always complaining....."
118,2020-04-01 17:05:30+00:00,"Upon information and belief, Iran or its proxies are planning a sneak attack on U.S. troops and/or assets in Iraq. If this happens, Iran will pay a very heavy price, indeed!"
119,2020-04-01 16:36:30+00:00,"Congress must pass the old, and very strongly proven, deductibility by businesses on restaurants and entertainment. This will bring restaurants, and everything related, back - and stronger than ever. Move quickly, they will all be saved!"
120,2020-04-01 00:32:46+00:00,
121,2020-04-01 00:32:16+00:00,
122,2020-03-31 23:49:05+00:00,30 DAYS TO SLOW THE SPREAD #COVIDー19 http://CoronaVirus.gov
123,2020-03-31 20:56:23+00:00,"Great work @AtlasAirWW, thank you!"
124,2020-03-31 20:27:41+00:00,Will be starting The White House news conference at 5:15 P.M. Eastern.
125,2020-03-31 19:52:52+00:00,"My proposal to the politically correct Automobile Companies would lower the average price of a car to consumers by more than $3500, while at the same time making the cars substantially safer. Engines would run smoother. Positive impact on the environment! Foolish executives!"
